ui.menu|Μενού
ui.close|Κλείσιμο
ui.closeImage|Κλείσιμο
mail.privateSubject|button4help™ — αίτημα πληροφοριών
mail.privateBody|Καλησπέρα σας,\nθα ήθελα πληροφορίες για το button4help™: τιμή, διαθεσιμότητα και συμβατότητα με το τηλέφωνό μου.\n\nΜοντέλο τηλεφώνου: \n\nΜε εκτίμηση
mail.partnerSubject|no pAIn™ — αίτημα συνεργασίας
mail.partnerBody|Καλησπέρα σας,\nθα ήθελα να μάθω περισσότερα για το έργο no pAIn™ και να εξετάσουμε μια πιθανή συνεργασία ή επίδειξη.\n\nΦορέας ή εταιρεία: \nΥπεύθυνος επικοινωνίας: \n\nΜε εκτίμηση
002|no pAIn™: ψηφιακή προστασία από την έμφυλη βία. Εφαρμογές και συσκευές που ζητούν βοήθεια με τη φωνή ή με μια κίνηση, χωρίς να χρειάζεται να μιλήσετε σε κανέναν.
003|Το έργο
004|Εφαρμογές
006|Free και Premium
007|Πώς λειτουργεί
008|Έρευνα
009|Οργανισμοί
010|Ερωτήσεις
011|Επικοινωνία
012|Ψηφιακή προστασία · digital4help™
013|Ζητήστε βοήθεια <span class="hl">χωρίς να χρειάζεται να μιλήσετε.</span>
014|Το no pAIn™ είναι ένα οικοσύστημα εφαρμογών και συσκευών για την πρόληψη της έμφυλης βίας. Με μια λέξη, ένα άγγιγμα ή ένα κουμπί ειδοποιεί αμέσως δύο πρόσωπα εμπιστοσύνης με την τοποθεσία σας: μηνύματα και κλήσεις φεύγουν αυτόματα.
015|Επιλέξτε την εφαρμογή σας <span class="arr">→</span>
016|Γνωρίστε το button4help™ <span class="arr">→</span>
017|Έργο του <strong>Καθ. Μηχ. Agostino Giorgio</strong><br>Διδάσκων στο Politecnico di Bari
019|Giulia<small>επαφή έκτακτης ανάγκης</small>
020|<span class="sos">ΑΙΤΗΜΑ ΒΟΗΘΕΙΑΣ</span><br>Χρειάζομαι βοήθεια. Αυτή είναι η τοποθεσία μου.
021|41.1087° N, 16.8784° E<br><span class="live">● ζωντανή τοποθεσία ενεργή</span>
022|Ενδεικτικό παράδειγμα του τι λαμβάνει μια επαφή
023|Η ιδέα
024|Από το signal4help στο <span class="hl">digital4help™</span>
025|Το σήμα με το χέρι, signal4help, έχει γίνει η παγκόσμια χειρονομία με την οποία όποιος κινδυνεύει ζητά βοήθεια σιωπηλά. Όμως λειτουργεί μόνο αν κάποιος το δει. Το no pAIn™ δημιούργησε μια ηλεκτρονική εκδοχή του: το «signal for help» φτάνει στους σωστούς ανθρώπους, όπου κι αν βρίσκονται, μαζί με την τοποθεσία.
026|ΚΙΝΗΣΗ 1
027|Ανοιχτή παλάμη
028|ΚΙΝΗΣΗ 2
029|Ο αντίχειρας διπλωμένος στην παλάμη
030|ΚΙΝΗΣΗ 3
031|Τα δάχτυλα κλείνουν πάνω στον αντίχειρα
033|Το ίδιο μήνυμα, χωρίς να χρειάζεται να σας δουν
034|Μια λέξη-κλειδί ειπωμένη δυνατά, ένα άγγιγμα στην οθόνη, στο ρολόι ή σε ένα κουμπί στην τσέπη. Η εφαρμογή κάνει τα υπόλοιπα και ειδοποιεί τις επαφές έκτακτης ανάγκης.
035|Γιατί χρειάζεται
036|Στον κίνδυνο δεν μπορεί κανείς πάντα να μιλήσει.
037|Το 112 και εφαρμογές όπως το YouPol παραμένουν βασικά εργαλεία. Απαιτούν όμως να μιλήσετε με έναν χειριστή, να εξηγήσετε τι συμβαίνει και να πείτε πού βρίσκεστε. Με έναν επιτιθέμενο δίπλα σας, αυτό συχνά είναι αδύνατο.
038|Κλήση ή εφαρμογή καταγγελίας
039|Πρέπει να πάρετε το τηλέφωνο στο χέρι και να το ξεκλειδώσετε
040|Πρέπει να μιλήσετε ή να γράψετε εξηγώντας την κατάσταση
041|Πρέπει να περιγράψετε πού βρίσκεστε
042|Ο επιτιθέμενος μπορεί να το αντιληφθεί
043|Μια εφαρμογή με τεχνολογία no pAIn™
044|Αρκεί μια λέξη-κλειδί, ακόμη και με το τηλέφωνο λίγα μέτρα μακριά
045|Ή ένα διακριτικό άγγιγμα: σε μια ειδοποίηση, στο ρολόι, σε ένα κουμπί
046|Η τοποθεσία στέλνεται αυτόματα
047|Δύο πρόσωπα εμπιστοσύνης ειδοποιούνται αμέσως και μπορούν να καλέσουν την αστυνομία
048|Πώς ενεργοποιείται
049|Έξι πολύ γρήγοροι τρόποι για να σημάνετε συναγερμό.
050|Κάθε κατάσταση είναι διαφορετική: γι’ αυτό οι εφαρμογές no pAIn™ προσφέρουν πολλούς τρόπους ενεργοποίησης. Επιλέξτε όσους μπορείτε να χρησιμοποιήσετε χωρίς να γίνετε αντιληπτοί. Οι διαθέσιμες λειτουργίες εξαρτώνται από την εφαρμογή και τη συσκευή.
051|Τεχνητή νοημοσύνη εκτός σύνδεσης
052|Φωνητική εντολή
053|Λέτε μια λέξη-κλειδί και οι ενέργειες έκτακτης ανάγκης ξεκινούν, χωρίς να αγγίξετε το τηλέφωνο. Στο Android η αναγνώριση φωνής γίνεται στη συσκευή, με 4 σταθερές και 3 προσωπικές λέξεις-κλειδιά: λειτουργεί με την εφαρμογή ανοιχτή, στο παρασκήνιο ή κλειστή, ακόμη και με σβηστή οθόνη και το τηλέφωνο λίγα μέτρα μακριά. Στο iPhone αρκεί να πείτε «Hey Siri, Βοήθησέ με».
054|εφαρμογή ανοιχτή
