ui.menu|Menú
ui.close|Cerrar
ui.closeImage|Cerrar
mail.privateSubject|button4help™ — solicitud de información
mail.privateBody|Buenos días:\nme gustaría recibir información sobre button4help™: precio, disponibilidad y compatibilidad con mi teléfono.\n\nModelo del teléfono: \n\nUn saludo cordial
mail.partnerSubject|no pAIn™ — solicitud de colaboración
mail.partnerBody|Buenos días:\nme gustaría conocer mejor el proyecto no pAIn™ y valorar una posible colaboración o demostración.\n\nEntidad o empresa: \nPersona de contacto: \n\nUn saludo cordial
002|no pAIn™: la protección digital contra la violencia de género. Apps y dispositivos que piden ayuda con la voz o con un gesto, sin tener que hablar con nadie.
003|El proyecto
004|Las apps
006|Free y Premium
007|Cómo funciona
008|Investigación
009|Organizaciones
010|Preguntas
011|Contacto
012|Protección digital · digital4help™
013|Pedir ayuda <span class="hl">sin tener que hablar.</span>
014|no pAIn™ es un ecosistema de apps y dispositivos para la prevención de la violencia de género. Con una palabra, un toque o un botón, avisa enseguida a dos personas de confianza con tu ubicación: los mensajes y las llamadas salen solos.
015|Elige tu app <span class="arr">→</span>
016|Descubre button4help™ <span class="arr">→</span>
017|Proyecto ideado por el <strong>Prof. Ing. Agostino Giorgio</strong><br>Profesor del Politecnico di Bari
019|Giulia<small>contacto de emergencia</small>
020|<span class="sos">PETICIÓN DE AYUDA</span><br>Necesito ayuda. Esta es mi ubicación.
021|41.1087° N, 16.8784° E<br><span class="live">● ubicación en tiempo real activa</span>
022|Ejemplo ilustrativo de lo que recibe un contacto
023|La idea
024|De signal4help a <span class="hl">digital4help™</span>
025|La señal con la mano, signal4help, se ha convertido en el gesto universal con el que quien está en peligro pide ayuda en silencio. Pero solo funciona si alguien lo ve. no pAIn™ ha creado una versión electrónica: el “signal for help” llega a las personas adecuadas, estén donde estén, junto con la ubicación.
026|GESTO 1
027|Palma abierta
028|GESTO 2
029|Pulgar doblado sobre la palma
030|GESTO 3
031|Dedos cerrados sobre el pulgar
033|El mismo mensaje, sin necesidad de ser vista
034|Una palabra clave dicha en voz alta, un toque en la pantalla, en el reloj o en un botón en el bolsillo. La app hace el resto y avisa a tus contactos de emergencia.
035|Por qué hace falta
036|En peligro no siempre se puede hablar.
037|El 112 y apps como YouPol siguen siendo herramientas fundamentales. Pero exigen hablar con un operador, explicar lo que está pasando y decir dónde estás. Con un agresor al lado, a menudo es imposible.
038|Llamada o app de denuncia
039|Hay que coger el teléfono y desbloquearlo
040|Hay que hablar o escribir para explicar la situación
041|Hay que describir dónde estás
042|El agresor puede darse cuenta
043|Una app con tecnología no pAIn™
044|Basta una palabra clave, incluso con el teléfono a unos metros
045|O un toque discreto: en una notificación, en el reloj, en un botón
046|La ubicación se envía automáticamente
047|Dos personas de confianza reciben el aviso al instante y pueden llamar a la policía
048|Cómo se activa
049|Seis formas rapidísimas de dar la alarma.
050|Cada situación es distinta: por eso las apps no pAIn™ ofrecen varios activadores. Elige los que puedas usar sin que te vean. Las funciones disponibles dependen de la app y del dispositivo.
051|IA sin conexión
052|Comando de voz
053|Dices una palabra clave y las acciones de emergencia se ponen en marcha, sin tocar el teléfono. En Android el reconocimiento de voz funciona en el dispositivo, con 4 palabras clave fijas y 3 personales: funciona con la app abierta, en segundo plano o cerrada, incluso con la pantalla apagada y el teléfono a unos metros. En iPhone basta con decir “Oye Siri, Ayúdame”.
054|app abierta
055|Botón de emergencia en la app
056|El gran botón SOS de la pantalla principal. Es el método más sencillo y requiere que la app esté en primer plano.
057|Android · app cerrada
058|Botón rápido en la pantalla de inicio
059|Un botón en la pantalla de inicio del teléfono despierta la app aunque esté cerrada e inactiva, y activa la emergencia al momento.
060|Android · discreto
061|Notificación permanente
062|Un toque en la notificación que siempre está presente. Quien te mira cree que solo estás repasando las notificaciones: en realidad estás pidiendo ayuda.
064|Smartwatch
065|Voz o botón en la esfera de un smartwatch Wear OS, o un toque en el Apple Watch. Las apps para smartphone tienen su app complementaria para el reloj; AIuto SOS funciona incluso sin smartphone.
066|Botón button4help™
067|Mantén pulsado un par de segundos el pequeño botón que llevas contigo: la app del smartphone, a varios metros de distancia, activa la emergencia. <a class="link-arrow" href="button4help.html">Descubre →</a>
068|Qué ocurre
069|Todo se activa solo, hacia dos personas de confianza.
070|En la app configuras dos contactos de emergencia, familiares o amigos. En cuanto salta la alarma, reciben tu petición de ayuda y tu ubicación.
072|SMS con ubicación
073|Coordenadas GPS, dirección y enlace al mapa. Viaja por la red telefónica, sin necesidad de internet.
075|WhatsApp con ubicación
076|En iPhone el mensaje con la ubicación llega también por WhatsApp.
077|en tiempo real hasta 24 horas
078|Telegram con ubicación en tiempo real
079|La ubicación se actualiza en tiempo real para que tus contactos puedan seguirte. La duración depende de la app y de la versión.
080|Llamada
081|La app inicia la llamada a tus contactos de emergencia, sin que tengas que marcar nada.
082|Tú
083|voz, toque o botón
084|App no pAIn™
085|ubicación + mensajes
086|2 contactos de confianza
087|SMS · WhatsApp · Telegram · llamada
088|Ayuda concreta
089|llaman a la policía o vienen a buscarte
090|<b>Importante</b> Las apps avisan a los contactos que has elegido: no llaman directamente al 112 y no lo sustituyen. Acuerda antes con tus contactos qué hacer cuando reciban una alarma y haced juntos una prueba.
091|Material promocional del proyecto. Las joyas de las ilustraciones son conceptos de diseño.
092|El ecosistema
093|Tu dispositivo. Tu app no pAIn™.
094|Smartphones Android, iPhone, smartwatches y un botón para llevar en el bolsillo. Idiomas, conexiones y funciones cambian de una app a otra: elige la solución que mejor se adapte a ti.
095|ANDROID · 12 IDIOMAS
097|La versión multilingüe para Android, compatible con button4help™.
098|Descubre →
099|ANDROID · ITALIANO
100|Proteggimi (no pAIn™)
101|La app no pAIn™ para Android en italiano.
102|IPHONE · 12 IDIOMAS
103|no pAIn™ (Proteggimi)
104|La versión para iPhone y Apple Watch.
105|WEAR OS · SOLO SMARTWATCH
107|Funciona solo en el reloj, sin smartphone.
108|DISPOSITIVO BLUETOOTH
109|El botón que activa la alarma a distancia. Se compra en un vendedor externo.
110|Compara las versiones Free y Premium →
111|Cómo empezar
112|Elige cómo activar. Decide a quién avisar.
113|Prepara tu red
114|Elige la app adecuada para tu dispositivo, configura los contactos y activa las acciones que quieras usar. Si usas el botón, completa la vinculación.
115|Antes de usarla
116|Activa la petición
117|Usa el modo que ofrece tu app: comando de voz, toque en la pantalla, smartwatch compatible o botón físico vinculado.
118|Cuando lo necesites
119|Avisa a quien has elegido
120|Se ponen en marcha las acciones activadas: mensajes con ubicación, ubicación en tiempo real por Telegram y llamadas a los contactos configurados.
121|Hacia tus contactos
122|Todos los detalles de cómo funciona →
123|Tecnología e investigación
124|Nacido en la universidad, publicado en una revista científica.
125|no pAIn™ significa <em>never oppressed protected by Artificial Intelligence Non violence system</em>. El proyecto se describe en dos artículos de la revista <em>Electronics</em> (2024 y 2026) y en una presentación completa de 23 páginas.
126|Tecnología y publicaciones →
127|Colaboremos
128|Lleva no pAIn™ a tu organización.
129|Entidades públicas, asociaciones, empresas y patrocinadores: dar a conocer la herramienta e integrarla en una red de apoyo es tan importante como ponerla a disposición.
130|Propuestas para entidades y empresas →
131|Precios, disponibilidad y colaboraciones
132|Encontremos la solución adecuada para ti.
134|Departamento de Ingeniería Eléctrica y de la Información
136|Tel. oficina: 080 596 3239/579
