ui.menu|Meniu
ui.close|Închide
ui.closeImage|Închide
mail.privateSubject|button4help™ — cerere de informații
mail.privateBody|Bună ziua,\naș dori să primesc informații despre button4help™: preț, disponibilitate și compatibilitate cu telefonul meu.\n\nModelul telefonului: \n\nCu stimă
mail.partnerSubject|no pAIn™ — cerere de colaborare
mail.partnerBody|Bună ziua,\naș dori să aflu mai multe despre proiectul no pAIn™ și să discutăm o posibilă colaborare sau demonstrație.\n\nInstituție sau companie: \nPersoană de contact: \n\nCu stimă
002|no pAIn™: protecția digitală împotriva violenței de gen. Aplicații și dispozitive care cer ajutor cu vocea sau cu un gest, fără să fie nevoie să vorbești cu cineva.
003|Proiectul
004|Aplicațiile
006|Free și Premium
007|Cum funcționează
008|Cercetare
009|Organizații
010|Întrebări
011|Contact
012|Protecție digitală · digital4help™
013|Să ceri ajutor <span class="hl">fără să fie nevoie să vorbești.</span>
014|no pAIn™ este un ecosistem de aplicații și dispozitive pentru prevenirea violenței de gen. Cu un cuvânt, o atingere sau un buton, anunță imediat două persoane de încredere împreună cu locația ta: mesajele și apelurile pleacă singure.
015|Alege-ți aplicația <span class="arr">→</span>
016|Descoperă button4help™ <span class="arr">→</span>
017|Proiect creat de <strong>Prof. Ing. Agostino Giorgio</strong><br>Cadru didactic la Politecnico di Bari
019|Giulia<small>contact de urgență</small>
020|<span class="sos">CERERE DE AJUTOR</span><br>Am nevoie de ajutor. Aceasta este locația mea.
021|41.1087° N, 16.8784° E<br><span class="live">● locație în timp real activă</span>
022|Exemplu ilustrativ a ceea ce primește un contact
023|Ideea
024|De la signal4help la <span class="hl">digital4help™</span>
025|Semnalul cu mâna, signal4help, a devenit gestul universal prin care cine e în pericol cere ajutor în tăcere. Dar funcționează doar dacă îl vede cineva. no pAIn™ a creat o versiune electronică: „signal for help” ajunge la oamenii potriviți, oriunde s-ar afla, împreună cu locația.
026|GESTUL 1
027|Palma deschisă
028|GESTUL 2
029|Degetul mare îndoit în palmă
030|GESTUL 3
031|Degetele strânse peste degetul mare
033|Același mesaj, fără să fie nevoie să fii văzută
034|Un cuvânt-cheie rostit cu voce tare, o atingere pe ecran, pe ceas sau pe un buton din buzunar. Aplicația face restul și îți anunță contactele de urgență.
035|De ce este nevoie
036|În pericol nu poți vorbi întotdeauna.
037|112 și aplicații ca YouPol rămân instrumente esențiale. Dar îți cer să vorbești cu un operator, să explici ce se întâmplă și să spui unde te afli. Cu un agresor alături, de multe ori este imposibil.
038|Apel sau aplicație de semnalare
039|Trebuie să iei telefonul în mână și să-l deblochezi
040|Trebuie să vorbești sau să scrii, explicând situația
041|Trebuie să descrii unde te afli
042|Agresorul poate observa
043|O aplicație cu tehnologie no pAIn™
044|Ajunge un cuvânt-cheie, chiar și cu telefonul la câțiva metri
045|Sau o atingere discretă: pe o notificare, pe ceas, pe un buton
046|Locația este trimisă automat
047|Două persoane de încredere sunt anunțate imediat și pot chema poliția
048|Cum se activează
049|Șase moduri foarte rapide de a da alarma.
050|Fiecare situație este diferită: de aceea aplicațiile no pAIn™ oferă mai multe declanșatoare. Alege-le pe cele pe care le poți folosi fără să atragi atenția. Funcțiile disponibile depind de aplicație și de dispozitiv.
051|IA offline
052|Comandă vocală
053|Rostești un cuvânt-cheie și acțiunile de urgență pornesc, fără să atingi telefonul. Pe Android recunoașterea vocală rulează pe dispozitiv, cu 4 cuvinte-cheie fixe și 3 personale: funcționează cu aplicația deschisă, în fundal sau închisă, chiar și cu ecranul stins și telefonul la câțiva metri. Pe iPhone e suficient să spui „Hey Siri, Ajută-mă”.
054|aplicație deschisă
055|Buton de urgență în aplicație
056|Marele buton SOS de pe ecranul principal. Este metoda cea mai simplă și necesită ca aplicația să fie în prim-plan.
057|Android · aplicație închisă
058|Buton rapid pe ecranul de pornire
059|Un buton pe ecranul de pornire al telefonului trezește aplicația chiar și când este închisă și inactivă și pornește imediat urgența.
060|Android · discret
061|Notificare permanentă
062|O atingere pe notificarea mereu prezentă. Cine te privește crede că doar derulezi notificările: de fapt ceri ajutor.
064|Ceas inteligent
065|Voce sau buton pe cadranul unui ceas Wear OS ori o atingere pe Apple Watch. Aplicațiile pentru smartphone au propria aplicație însoțitoare pentru ceas; AIuto SOS funcționează chiar și fără smartphone.
066|Butonul button4help™
067|Ține apăsat câteva secunde micul buton pe care îl porți cu tine: aplicația de pe smartphone, aflat la câțiva metri, pornește urgența. <a class="link-arrow" href="button4help.html">Descoperă →</a>
068|Ce se întâmplă
