ui.menu|Menu
ui.close|Close
ui.closeImage|Close
mail.privateSubject|button4help™ — information request
mail.privateBody|Hello,\nI would like to receive information about button4help™, price, availability and compatibility with my phone.\n\nPhone model: \n\nKind regards
mail.partnerSubject|no pAIn™ — collaboration request
mail.partnerBody|Hello,\nI would like to learn more about the no pAIn™ project and discuss a possible collaboration or demonstration.\n\nOrganisation or company: \nContact person: \n\nKind regards
002|no pAIn™: digital protection against gender-based violence. Apps and devices that ask for help with your voice or a gesture, without having to speak to anyone.
003|The project
004|The apps
006|Free & Premium
007|How it works
008|Research
009|For organisations
010|Questions
011|Contact
012|Digital protection · digital4help™
013|Asking for help <span class="hl">without having to speak.</span>
014|no pAIn™ is an ecosystem of apps and devices for preventing gender-based violence. With a word, a tap or a button, it immediately alerts two trusted people with your location: messages and calls go out automatically.
015|Choose your app <span class="arr">→</span>
016|Discover button4help™ <span class="arr">→</span>
017|Project created by <strong>Prof. Eng. Agostino Giorgio</strong><br>Lecturer at the Politecnico di Bari
019|Giulia<small>emergency contact</small>
020|<span class="sos">HELP REQUEST</span><br>I need help. This is my location.
021|41.1087° N, 16.8784° E<br><span class="live">● live location on</span>
022|Illustrative example of what a contact receives
023|The idea
024|From signal4help to <span class="hl">digital4help™</span>
025|The hand signal, signal4help, has become the universal gesture for asking for help in silence when in danger. But it only works if someone sees it. no pAIn™ has created an electronic version: the “signal for help” reaches the right people, wherever they are, together with your location.
026|GESTURE 1
027|Open palm
028|GESTURE 2
029|Thumb folded onto the palm
030|GESTURE 3
031|Fingers closed over the thumb
033|The same message, without needing to be seen
034|A keyword spoken out loud, a tap on the screen, on the watch or on a button in your pocket. The app does the rest and alerts your emergency contacts.
035|Why it matters
036|In danger, you cannot always speak.
037|112 and apps such as YouPol remain essential tools. But they require you to talk to an operator, explain what is happening and say where you are. With an attacker next to you, that is often impossible.
038|Phone call or reporting app
039|You have to pick up the phone and unlock it
040|You have to speak or type, explaining the situation
041|You have to describe where you are
042|The attacker may notice
043|An app with no pAIn™ technology
044|A keyword is enough, even with the phone a few metres away
045|Or a discreet tap: on a notification, on the watch, on a button
046|Your location is sent automatically
047|Two trusted people are alerted immediately and can call the police
048|How to activate it
049|Six very fast ways to raise the alarm.
050|Every situation is different: that is why no pAIn™ apps offer several triggers. Choose the ones you can use without being noticed. Available features depend on the app and the device.
051|Offline AI
052|Voice command
053|Say a keyword and the emergency actions start, without touching the phone. On Android, speech recognition runs on the device, with 4 fixed and 3 personal keywords: it works with the app open, in the background or closed, even with the screen off and the phone a few metres away. On iPhone, just say “Hey Siri, Help me”.
054|app open
055|Emergency button in the app
056|The big SOS button on the main screen. It is the simplest method and requires the app to be in the foreground.
057|Android · app closed
058|Quick button on the home screen
059|A button on the phone's home screen wakes the app up even when it is closed and asleep, and starts the emergency right away.
060|Android · discreet
061|Persistent notification
062|One tap on the notification that is always there. Anyone watching thinks you are just scrolling through notifications: in fact you are asking for help.
064|Smartwatch
065|Voice or button on the face of a Wear OS smartwatch, or a tap on Apple Watch. The smartphone apps have their own companion app for the watch; AIuto SOS even works without a smartphone.
066|button4help™ button
067|Hold down the small button you carry with you for a couple of seconds: the app on your smartphone, several metres away, starts the emergency. <a class="link-arrow" href="button4help.html">Discover →</a>
068|What happens
069|Everything starts by itself, towards two trusted people.
070|In the app you set two emergency contacts, relatives or friends. As soon as the alarm goes off, they receive your help request and your location.
072|SMS with location
