ui.menu|Meny
ui.close|Stäng
ui.closeImage|Stäng
mail.privateSubject|button4help™ — förfrågan om information
mail.privateBody|Hej,\njag vill gärna ha information om button4help™: pris, tillgänglighet och kompatibilitet med min telefon.\n\nTelefonmodell: \n\nVänliga hälsningar
mail.partnerSubject|no pAIn™ — förfrågan om samarbete
mail.partnerBody|Hej,\njag vill gärna veta mer om projektet no pAIn™ och diskutera ett möjligt samarbete eller en demonstration.\n\nOrganisation eller företag: \nKontaktperson: \n\nVänliga hälsningar
002|no pAIn™: digitalt skydd mot könsrelaterat våld. Appar och enheter som ber om hjälp med rösten eller en gest, utan att du behöver prata med någon.
003|Projektet
004|Apparna
006|Free och Premium
007|Så fungerar det
008|Forskning
009|Organisationer
010|Frågor
011|Kontakt
012|Digitalt skydd · digital4help™
013|Be om hjälp <span class="hl">utan att behöva prata.</span>
014|no pAIn™ är ett ekosystem av appar och enheter för att förebygga könsrelaterat våld. Med ett ord, en beröring eller en knapp varnar det direkt två personer du litar på och skickar din position: meddelanden och samtal går iväg av sig själva.
015|Välj din app <span class="arr">→</span>
016|Upptäck button4help™ <span class="arr">→</span>
017|Ett projekt av <strong>professor, civilingenjör Agostino Giorgio</strong><br>Lärare vid Politecnico di Bari
019|Giulia<small>nödkontakt</small>
020|<span class="sos">HJÄLPBEGÄRAN</span><br>Jag behöver hjälp. Här är min position.
021|41.1087° N, 16.8784° E<br><span class="live">● liveposition aktiv</span>
022|Exempel på vad en kontakt får
023|Idén
024|Från signal4help till <span class="hl">digital4help™</span>
025|Handsignalen signal4help har blivit den universella gest med vilken den som är i fara tyst ber om hjälp. Men den fungerar bara om någon ser den. no pAIn™ har skapat en elektronisk version: ”signal for help” når rätt personer, var de än är, tillsammans med positionen.
026|GEST 1
027|Öppen handflata
028|GEST 2
029|Tummen vikt in i handflatan
030|GEST 3
031|Fingrarna slutna över tummen
033|Samma budskap, utan att behöva synas
034|Ett nyckelord sagt högt, en beröring på skärmen, på klockan eller på en knapp i fickan. Appen gör resten och varnar dina nödkontakter.
035|Varför det behövs
036|I fara kan man inte alltid prata.
037|112 och appar som YouPol är fortfarande viktiga verktyg. Men de kräver att du pratar med en operatör, förklarar vad som händer och säger var du är. Med en angripare bredvid dig är det ofta omöjligt.
038|Samtal eller anmälningsapp
039|Du måste ta upp telefonen och låsa upp den
040|Du måste prata eller skriva och förklara situationen
041|Du måste beskriva var du är
042|Angriparen kan märka det
043|En app med no pAIn™-teknik
044|Det räcker med ett nyckelord, även när telefonen ligger några meter bort
045|Eller en diskret beröring: på en avisering, på klockan, på en knapp
046|Positionen skickas automatiskt
047|Två personer du litar på varnas direkt och kan ringa polisen
048|Så aktiverar du det
049|Sex blixtsnabba sätt att slå larm.
050|Varje situation är olika: därför erbjuder no pAIn™-apparna flera sätt att utlösa larmet. Välj de sätt du kan använda utan att märkas. Vilka funktioner som finns beror på appen och enheten.
051|Offline-AI
052|Röstkommando
053|Du säger ett nyckelord och nödåtgärderna startar, utan att du rör telefonen. På Android sker röstigenkänningen på enheten, med 4 fasta och 3 personliga nyckelord: den fungerar med appen öppen, i bakgrunden eller stängd, även med skärmen avstängd och telefonen några meter bort. På iPhone räcker det att säga ”Hej Siri, Hjälp mig”.
054|appen öppen
055|Nödknapp i appen
056|Den stora SOS-knappen på huvudskärmen. Det enklaste sättet, men appen måste vara i förgrunden.
057|Android · appen stängd
058|Snabbknapp på hemskärmen
059|En knapp på telefonens hemskärm väcker appen även när den är stängd och vilande, och startar nödläget direkt.
060|Android · diskret
061|Beständig avisering
062|Ett tryck på aviseringen som alltid finns där. Den som tittar tror att du bara bläddrar bland aviseringar: i själva verket ber du om hjälp.
064|Smartklocka
065|Röst eller knapp på urtavlan på en Wear OS-klocka, eller ett tryck på Apple Watch. Mobilapparna har en egen följeslagarapp för klockan; AIuto SOS fungerar till och med utan mobil.
066|Knappen button4help™
067|Håll in den lilla knappen du bär med dig i ett par sekunder: appen i mobilen, flera meter bort, startar nödläget. <a class="link-arrow" href="button4help.html">Läs mer →</a>
068|Vad som händer
069|Allt startar av sig självt, till två personer du litar på.
070|I appen anger du två nödkontakter, släktingar eller vänner. Så fort larmet går får de din hjälpbegäran och din position.
072|Sms med position
