ui.menu|Menü
ui.close|Kapat
ui.closeImage|Kapat
mail.privateSubject|button4help™ — bilgi talebi
mail.privateBody|Merhaba,\nbutton4help™ hakkında fiyat, bulunabilirlik ve telefonumla uyumluluk konusunda bilgi almak istiyorum.\n\nTelefon modeli: \n\nSaygılarımla
mail.partnerSubject|no pAIn™ — iş birliği talebi
mail.partnerBody|Merhaba,\nno pAIn™ projesi hakkında daha fazla bilgi almak ve olası bir iş birliğini veya tanıtımı değerlendirmek istiyorum.\n\nKurum veya şirket: \nİlgili kişi: \n\nSaygılarımla
002|no pAIn™: toplumsal cinsiyete dayalı şiddete karşı dijital koruma. Kimseyle konuşmak zorunda kalmadan sesle ya da bir hareketle yardım isteyen uygulamalar ve cihazlar.
003|Proje
004|Uygulamalar
006|Free ve Premium
007|Nasıl çalışır
008|Araştırma
009|Kuruluşlar
010|Sorular
011|İletişim
012|Dijital koruma · digital4help™
013|Konuşmak zorunda kalmadan <span class="hl">yardım isteyin.</span>
014|no pAIn™, toplumsal cinsiyete dayalı şiddetin önlenmesi için uygulama ve cihazlardan oluşan bir ekosistemdir. Bir kelime, bir dokunuş ya da bir düğmeyle güvendiğiniz iki kişiyi konumunuzla birlikte hemen uyarır: mesajlar ve aramalar kendiliğinden gönderilir.
015|Uygulamanızı seçin <span class="arr">→</span>
016|button4help™ ürününü keşfedin <span class="arr">→</span>
017|Projeyi geliştiren: <strong>Prof. Müh. Agostino Giorgio</strong><br>Politecnico di Bari öğretim üyesi
019|Giulia<small>acil durum kişisi</small>
020|<span class="sos">YARDIM TALEBİ</span><br>Yardıma ihtiyacım var. Konumum bu.
021|41.1087° N, 16.8784° E<br><span class="live">● canlı konum açık</span>
022|Bir kişinin aldığı mesaja örnek
023|Fikir
024|signal4help’ten <span class="hl">digital4help™</span>
025|El işareti signal4help, tehlikedeki kişinin sessizce yardım istediği evrensel hareket hâline geldi. Ancak yalnızca biri görürse işe yarar. no pAIn™ bunun elektronik bir sürümünü geliştirdi: “signal for help”, konumla birlikte, nerede olurlarsa olsunlar doğru kişilere ulaşır.
026|HAREKET 1
027|Açık avuç
028|HAREKET 2
029|Başparmak avuç içine kıvrılır
030|HAREKET 3
031|Parmaklar başparmağın üzerine kapanır
033|Görülmeye gerek kalmadan aynı mesaj
034|Yüksek sesle söylenen bir anahtar kelime, ekrana, saate ya da cepteki bir düğmeye bir dokunuş. Gerisini uygulama yapar ve acil durum kişilerinizi uyarır.
035|Neden gerekli
036|Tehlike anında her zaman konuşulamaz.
037|112 ve YouPol gibi uygulamalar temel araçlar olmaya devam ediyor. Ancak bir operatörle konuşmayı, neler olduğunu anlatmayı ve nerede olduğunuzu söylemeyi gerektirirler. Yanınızda bir saldırgan varken bu çoğu zaman imkânsızdır.
038|Arama veya ihbar uygulaması
039|Telefonu elinize alıp kilidini açmanız gerekir
040|Durumu anlatarak konuşmanız veya yazmanız gerekir
041|Nerede olduğunuzu tarif etmeniz gerekir
042|Saldırgan fark edebilir
043|no pAIn™ teknolojili bir uygulama
044|Telefon birkaç metre uzakta olsa bile bir anahtar kelime yeterlidir
045|Ya da fark edilmeyen bir dokunuş: bir bildirime, saate, bir düğmeye
046|Konum otomatik olarak gönderilir
047|Güvendiğiniz iki kişi anında uyarılır ve polisi arayabilir
048|Nasıl etkinleştirilir
049|Alarm vermenin son derece hızlı altı yolu.
050|Her durum farklıdır: bu yüzden no pAIn™ uygulamaları birden çok tetikleyici sunar. Fark edilmeden kullanabileceklerinizi seçin. Kullanılabilen işlevler uygulamaya ve cihaza bağlıdır.
051|Çevrimdışı yapay zekâ
052|Sesli komut
053|Bir anahtar kelime söylersiniz ve telefona dokunmadan acil durum eylemleri başlar. Android’de ses tanıma cihaz üzerinde çalışır; 4 sabit ve 3 kişisel anahtar kelimeyle uygulama açıkken, arka plandayken veya kapalıyken, ekran kapalıyken ve telefon birkaç metre uzaktayken bile çalışır. iPhone’da “Hey Siri, Bana yardım et” demeniz yeterlidir.
054|uygulama açık
055|Uygulamadaki acil durum düğmesi
056|Ana ekrandaki büyük SOS düğmesi. En basit yöntemdir ve uygulamanın ön planda olmasını gerektirir.
